MIGPUMA,ENT,FOD,SRV
0100190,66.0,514.0,720.0
0100290,154.9884,1093.9208,1105.9222
0100400,17.0,173.0,204.0
0100600,28.0,237.0,337.0
0100700,25.0,179.0,245.0
0100800,18.0,165.0,253.0
0100900,20.0,184.0,247.0
0101000,16.0,209.0,282.0
0101100,18.0,216.0,299.0
0101200,75.0,397.0,503.0
0101300,232.0,1502.0,1792.0
0101590,61.0,441.0,433.0
0101700,26.0,170.0,238.0
0101800,14.0,183.0,340.0
0101900,23.0,388.0,279.0
0102090,91.0,746.0,907.0
0102200,13.0,192.0,318.0
0102300,31.0,216.0,298.0
0102400,23.0,257.0,259.0
0102500,43.0,381.0,445.0
0102600,96.0,575.0,501.0
0102700,98.0,721.0,946.0
0400100,1425.0,8180.0,7291.0
0400200,336.9663,1887.8112,1818.8181
0400300,28.0,283.0,210.0
0400400,117.0,609.0,335.0
0400500,107.0,584.0,511.0
0400600,43.0,479.0,397.0
0400700,30.0,346.0,266.0
0400800,94.0,571.0,476.0
0400900,46.0,348.0,304.0
0500100,75.0,516.0,477.0
0500200,78.0,589.0,482.0
0500300,56.0,392.0,347.0
0500400,33.0,232.0,304.0
0500590,69.0,550.0,547.0
0500700,24.0,157.0,213.0
0500800,21.0,186.0,234.0
0500900,139.0,1041.0,1229.0
0501100,42.0,320.0,370.0
0501200,25.0,155.0,196.0
0501300,30.0,237.0,308.0
0501400,40.0,387.0,402.0
0501500,9.0,155.0,228.0
0501600,61.0,422.0,408.0
0501790,33.0,327.0,432.0
0501900,23.0,174.0,304.0
0502000,9.0,157.0,193.0
0600100,618.9381,4304.5695,3773.6226
0600300,103.0,689.0,419.0
0600700,64.0,472.0,449.0
0601100,39.0,247.0,189.0
0601300,410.0,2133.0,2092.0
0601500,49.0,377.0,234.0
0601700,98.0,500.0,358.0
0601900,196.0,1689.0,1418.0
0602300,58.0,390.0,298.0
0602500,23.0,284.0,200.0
0602900,146.9853,1486.8512999999998,1144.8854999999999
0603100,18.0,191.0,160.0
0603300,65.0,471.0,302.0
0603700,17688.7687,24011.4009,20995.0993
0603900,30.0,209.0,170.0
0604100,302.0,773.0,798.0
0604700,45.0,351.0,271.0
0605300,163.9851,1166.8928999999998,844.9241
0605500,71.0,410.0,319.0
0605700,84.0,276.0,246.0
0605900,1399.86,8459.154,6810.3189
0606100,176.01760000000002,977.0977,876.0876000000001
0606500,627.9372,4082.5917,3330.6669
0606700,404.0,3042.0,3056.0
0607100,443.9556,3759.6240000000003,3153.6846
0607300,1339.1339,7940.794,6990.699
0607500,626.0,4547.0,2794.0
0607700,153.0,1208.0,1145.0
0607900,139.0,993.0,606.0
0608100,314.0,2213.0,1721.0
0608300,260.97389999999996,1234.8764999999999,982.9017
0608500,657.0,5169.0,3842.0
0608700,132.0,690.0,581.0
0608900,63.0,390.0,385.0
0609500,113.0,795.0,752.0
0609700,269.0,1320.0,1140.0
0609900,108.0,938.0,938.0
0610100,46.0,253.0,232.0
0610700,65.0,665.0,558.0
0611100,486.0,1704.0,1639.0
0611300,68.0,432.0,416.0
0800100,228.00000000000003,967.0,943.0
0800190,1792.9228,8369.6059,9196.5741
0800200,123.0,450.0,384.0
0800400,204.0,909.0,577.0
0800690,170.0,941.0,864.0
0800900,125.0,552.0,410.0
0801000,139.0,638.0,679.0
0804100,318.9703,1479.8586999999998,1801.8266999999998
0900100,622.0622000000001,2479.2479,2654.2654
0900300,373.0,2154.0,2497.0
0900500,126.0,444.0,509.0
0900700,113.0,447.0,462.0
0900900,312.0,2082.0,2191.0
0901100,138.0,739.0,657.0
0901300,45.0,239.0,271.0
0901500,41.0,254.0,247.0
1000100,279.0,1274.0,1404.0
1000200,93.0,309.0,357.0
1000300,104.0,657.0,504.0
1100100,396.0,2754.0,4349.0
1200100,99.0,592.0,587.0
1200500,115.0,821.0,686.0
1200900,201.0,1206.0,1370.0
1201100,1047.8952,4203.5796,5236.4763
1201500,54.0,304.0,408.0
1201701,34.0,225.0,314.0
1201900,48.0,303.0,421.0
1202100,238.0,880.0,1185.0
1202300,42.0,275.0,324.0
1202790,67.0,346.0,484.0
1203100,369.0369,2187.2187,2378.2378
1203300,92.0,595.0,667.0
1203590,268.0,1377.0,1539.0
1205301,48.0,283.0,315.0
1205700,518.9481,2534.7464999999997,3036.6963
1206100,80.0,282.0,409.0
1206300,43.0,301.0,363.0
1206900,155.0,702.0,858.0
1207100,316.0,1461.0,1728.0
1207300,98.0,746.0,816.0
1208100,156.0,664.0,846.0
1208300,106.0,516.0,721.0
1208500,143.0,408.0,517.0
1208690,1389.7508,6364.8348,6493.7662
1208900,52.0,210.0,257.0
1209100,94.0,539.0,498.0
1209500,777.0,3396.0,2994.0
1209700,99.0,724.0,571.0
1209900,913.0,3086.0,4243.0
1210100,137.0137,707.0707,856.0856
1210300,495.9504,2359.764,2574.7425
1210500,149.0,907.0,1176.0
1210790,152.0,744.0,707.0
1211100,87.0,460.0,536.0
1211300,43.0,224.0,277.0
1211500,221.0,972.0,1277.0
1211700,221.9778,899.9100000000001,1098.8901
1212100,14.0,141.0,208.0
1300100,41.0,439.0,362.0
1300200,20.0,202.0,182.0
1300300,25.0,226.0,273.0
1300400,136.0,1008.9999999999999,722.0
1300500,20.0,242.0,315.0
1300600,38.0,271.0,239.0
1300700,19.0,222.0,226.0
1300800,27.0,185.0,251.0
1300900,28.0,244.0,249.0
1301090,1088.9693,5035.8403,4469.8479
1301100,21.0,161.0,248.0
1301200,10.0,253.0,313.0
1301300,17.0,209.0,282.0
1301400,39.0,450.0,393.0
1301500,29.0,353.0,275.0
1301600,36.0,269.0,312.0
1301700,58.0,479.0,458.0
1301800,21.0,210.0,281.0
1301900,25.0,248.0,307.0
1302100,51.0,200.0,250.0
1302200,23.0,175.0,206.0
1302300,16.0,215.0,222.0
1302400,78.0,268.0,368.0
1302500,38.0,313.0,333.0
1302600,19.0,213.0,260.0
1302700,21.0,181.0,194.0
1302800,44.0,318.0,340.0
1302900,31.0,202.0,199.0
1303000,321.0,1685.0,1747.0
1303100,108.0,390.0,507.0
1303200,51.0,370.0,325.0
1303300,89.0,355.0,477.0
1303400,75.0,315.0,410.0
1303500,21.0,246.0,317.0
1303600,69.0,367.0,289.0
1303700,29.0,174.0,236.0
1303800,23.0,182.0,280.0
1303900,32.0,180.0,237.0
1304000,52.0,472.0,438.0
1304007,372.0,2014.0,2036.0
1304100,37.0,239.0,268.0
1304200,20.0,172.0,242.0
1304300,42.0,342.0,333.0
1304400,34.0,248.0,250.0
1304500,26.0,166.0,213.0
1305000,24.0,403.0,377.0
1306000,49.0,405.0,383.0
1600190,171.0,788.0,679.0
1600300,124.0,386.0,265.0
1600490,293.0,1475.0,1531.0
1600900,51.0,255.0,253.0
1601000,66.0,274.0,285.0
1601190,110.0,522.0,373.0
1601200,37.0,247.0,226.0
1700104,54.0,335.0,368.0
1700105,53.0,357.0,358.0
1700202,57.0,371.0,499.0
1700300,52.0,234.0,352.0
1700401,46.0,309.0,365.0
1700501,58.0,366.0,442.0
1700600,29.0,228.0,274.0
1700700,23.0,203.0,366.0
1700800,19.0,222.0,450.0
1700900,73.0,415.0,528.0
1701001,65.0,354.0,527.0
1701100,70.0,548.0,600.0
1701200,104.0,603.0,711.0
1701300,108.0,545.0,676.0
1701500,47.0,246.0,306.0
1701602,44.0,293.0,391.0
1701701,83.0,466.0,468.0
1701900,58.0,299.0,363.0
1702000,68.0,394.0,416.0
1702100,83.0,593.0,471.0
1702200,52.0,305.0,436.0
1702300,37.0,241.0,263.0
1702400,50.0,310.0,316.0
1702501,62.0,311.0,376.0
1702601,36.0,213.0,225.0
1702700,36.0,203.0,271.0
1702890,143.0,672.0,773.0
1703000,193.0,947.0,1145.0
1703100,249.0,1215.0,1480.0
1703200,485.0,2258.0,2677.0
1703300,402.0,1532.0,1703.0
1703400,2165.3502,12437.2677,12714.1846
1703600,150.0,596.0,795.0
1703700,67.0,326.0,344.0
1800100,140.0,1030.0,1192.0
1800200,51.0,338.0,403.0
1800300,37.0,234.0,275.0
1800400,87.0,580.0,644.0
1800500,52.0,385.0,557.0
1800600,55.0,319.0,437.0
1800700,21.0,177.0,273.0
1800800,46.0,259.0,367.0
1800900,47.0,241.0,435.0
1801000,140.0,773.0,993.0
1801100,25.0,227.0,303.0
1801200,73.0,452.0,388.0
1801300,37.0,287.0,369.0
1801400,34.0,248.0,369.0
1801500,38.0,153.0,275.0
1801600,24.0,170.0,269.0
1801700,37.0,280.0,277.0
1801800,228.0,841.0,877.0
1801900,40.0,221.0,300.0
1802000,44.0,226.0,289.0
1802100,38.0,208.0,265.0
1802200,79.0,334.0,356.0
1802300,373.0373,2253.2253,2318.2318
1802400,39.0,289.0,327.0
1802500,39.0,197.0,256.0
1802600,37.0,223.0,309.0
1802700,34.0,259.0,431.0
1802800,60.0,382.0,310.0
1802900,33.0,257.0,290.0
1803000,34.0,185.0,227.0
1803100,38.0,183.0,277.0
1803200,33.0,179.0,312.0
1803300,76.0,467.0,544.0
1803400,43.0,280.0,379.0
1803500,34.0,245.0,301.0
1803600,34.0,241.0,246.0
1900100,74.0,335.0,532.0
1900200,70.0,250.0,444.0
1900400,65.0,291.0,433.0
1900500,61.0,330.0,340.0
1900600,55.0,258.0,451.0
1900700,92.0,360.0,437.0
1900800,51.0,294.0,356.0
1900900,74.0,457.0,408.0
1901000,90.0,564.0,569.0
1901100,55.0,441.0,309.0
1901200,46.0,229.0,310.0
1901300,64.0,289.0,308.0
1901490,302.0,1601.0,1946.0
1901800,45.0,200.0,332.0
1901900,64.0,255.0,439.0
1902000,65.0,315.0,353.0
1902100,71.0,369.0,503.0
1902200,45.0,227.0,363.0
1902300,45.0,246.0,343.0
2000100,37.0,313.0,539.0
2000200,75.0,347.0,585.0
2000300,43.0,299.0,308.0
2000400,30.0,187.0,268.0
2000500,29.0,288.0,345.0
2000600,271.9728,1211.8788,1315.8683999999998
2000700,53.0,325.0,273.0
2000800,84.0,432.0,636.0
2000990,62.0,495.0,773.0
2001000,33.0,224.0,345.0
2001200,45.0,331.0,418.0
2001300,204.0,1346.0,1423.0
2001400,19.0,182.0,284.0
2001500,41.0,264.0,330.0
2100100,45.0,455.0,530.0
2100200,23.0,161.0,348.0
2100300,18.0,181.0,249.0
2100400,36.0,274.0,327.0
2100500,43.0,290.0,248.0
2100600,15.0,152.0,201.0
2100700,20.0,145.0,162.0
2100800,14.0,146.0,143.0
2100900,13.0,202.0,198.0
2101000,0.0,112.0,118.0
2101100,18.0,204.0,224.0
2101290,63.0,406.0,542.0
2101400,18.0,154.0,258.0
2101500,35.0,194.0,258.0
2101690,64.0,282.0,435.0
2101700,333.0333,1819.1819,1866.1866
2101900,170.0,844.0,809.0
2102000,44.0,225.0,348.0
2102100,39.0,192.0,293.0
2102200,25.0,209.0,211.0
2102300,41.0,225.0,270.0
2102400,44.0,327.0,296.0
2102500,49.0,322.0,261.0
2102600,47.0,321.0,305.0
2102700,16.0,181.0,244.0
2102800,22.0,228.0,276.0
2200100,94.0,505.0,589.0
2200200,48.0,323.0,308.0
2200300,40.0,274.0,369.0
2200400,50.0,322.0,375.0
2200500,40.0,161.0,315.0
2200600,15.0,122.0,244.0
2200700,37.0,324.0,391.0
2200890,87.0,594.0,645.0
2201000,27.0,132.0,185.0
2201100,27.0,152.0,185.0
2201200,105.0,723.0,567.0
2201300,49.0,277.0,311.0
2201400,22.0,174.0,186.0
2201500,164.0,1078.0,1229.0
2201600,30.0,241.0,221.0
2201700,21.0,172.0,218.0
2201800,37.0,319.0,324.0
2201900,39.0,198.0,180.0
2202000,30.0,172.0,158.0
2202100,35.0,247.0,195.0
2202200,95.0,615.0,529.0
2202390,198.0,1267.0,1069.0
2202400,251.0,1529.0,908.0
2300100,39.0,225.0,233.0
2300200,98.0,418.0,361.0
2300300,69.0,331.0,370.0
2300400,61.0,296.0,372.0
2300500,214.0,768.0,588.0
2300600,41.0,239.0,254.0
2300790,387.0,2005.0,1582.0
2400100,35.0,267.0,306.0
2400200,49.0,328.0,397.0
2400300,100.0,503.0,624.0
2400400,54.0,286.0,472.0
2400500,304.0304,1723.1723,1899.1898999999999
2400600,87.0,417.0,571.0
2400700,56.0,164.0,213.0
2400800,207.0,1546.0,1432.0
2400900,165.0,636.0,737.0
2401000,415.0415,1919.1919,2528.2528
2401100,156.98430000000002,1446.8553,1748.8251
2401200,273.9726,1285.8714,1398.8600999999999
2401300,108.0,400.0,507.0
2401400,98.0,694.0,510.0
2401500,51.0,351.0,374.0
2401600,29.0,263.0,289.0
2500100,110.0,510.0,336.0
2500290,266.0,1459.0,1624.0
2500390,2404.0434999999998,11768.2246,13037.2416
2503300,391.0,2686.0,2411.0
2504790,321.0,1387.0,908.0
2600100,74.0,515.0,519.0
2600200,65.0,441.0,370.0
2600300,76.0,408.0,391.0
2600400,110.0,440.0,458.0
2600500,109.0,493.0,494.0
2600600,48.0,259.0,274.0
2600700,53.0,341.0,363.0
2600800,88.0,438.0,731.0
2600900,41.0,223.0,280.0
2601000,259.0,1337.0,1794.0
2601100,58.0,276.0,413.0
2601200,45.0,276.0,283.0
2601300,58.0,289.0,280.0
2601400,63.0,381.0,459.0
2601500,64.0,407.0,494.0
2601600,44.0,227.0,285.0
2601700,149.9901,974.9281000000001,1182.9160000000002
2601800,83.0,642.0,800.0
2601900,47.0,334.0,404.0
2602000,60.0,350.0,458.0
2602100,98.0,589.0,605.0
2602200,27.0,194.0,268.0
2602300,45.0,220.0,244.0
2602400,69.0,378.0,401.0
2602500,41.0,253.0,319.0
2602600,48.0,268.0,306.0
2602700,173.0,836.0,803.0
2602800,87.0,304.0,410.0
2602900,558.0,3005.0,3121.0
2603000,223.9776,1691.8308,1816.8183
2603100,50.0,278.0,296.0
2603200,389.961,3413.6586,3605.6394
2603300,46.0,277.0,236.0
2700100,77.0,276.0,446.0
2700200,75.0,363.0,362.0
2700390,251.0,1077.0,1030.0
2700600,81.0,304.0,440.0
2700700,83.0,367.0,459.0
2700800,104.0,386.0,594.0
2700900,80.0,374.0,496.0
2701000,64.0,173.0,309.0
2701100,123.0,515.0,784.0
2701200,144.0,452.0,569.0
2701300,275.9724,1179.882,1516.8482999999999
2701400,762.0,3038.0,3618.0
2701500,183.0183,740.0740000000001,987.0987
2701690,119.0,395.0,525.0
2701800,66.0,208.0,329.0
2701900,65.0,242.0,464.0
2702000,72.0,235.0,437.0
2702100,65.0,246.0,482.0
2702200,66.0,246.0,322.0
2702300,74.0,287.0,434.0
2702400,55.0,245.0,412.0
2702500,71.0,350.0,397.0
2702600,72.0,289.0,343.0
2800100,40.0,355.0,278.0
2800200,25.0,193.0,274.0
2800300,23.0,190.0,211.0
2800400,34.0,300.0,316.0
2800500,35.0,319.0,335.0
2800600,42.0,347.0,417.0
2800700,22.0,221.0,248.0
2800800,31.0,190.0,305.0
2800990,133.0,944.0,1060.0
2801300,39.0,372.0,413.0
2801400,9.0,139.0,227.0
2801500,23.0,211.0,303.0
2801600,35.0,281.0,410.0
2801700,15.0,188.0,307.0
2801800,41.0,375.0,392.0
2801900,23.0,249.0,214.0
2802000,65.0,501.0,411.0
2802100,34.0,270.0,239.0
2900100,34.0,174.0,335.0
2900200,35.0,217.0,308.0
2900300,44.0,253.0,383.0
2900400,36.0,191.0,317.0
2900500,41.0,275.0,468.0
2900600,84.0,461.0,468.0
2900700,36.0,235.0,394.0
2900800,29.0,211.0,317.0
2900900,119.0,665.0,752.0
2901000,270.0,1572.0,1786.0
2901100,25.0,188.0,268.0
2901200,29.0,224.0,317.0
2901300,43.0,196.0,261.0
2901400,78.0,378.0,342.0
2901500,32.0,274.0,278.0
2901600,41.0,214.0,281.0
2901700,149.0149,761.0761,807.0807
2901800,453.9546,2239.776,2646.7353
2901900,160.0,1002.0,926.0
2902000,46.0,286.0,453.0
2902100,31.0,204.0,325.0
2902200,42.0,272.0,368.0
2902300,25.0,187.0,257.0
2902400,17.0,191.0,222.0
2902500,22.0,199.0,297.0
2902600,159.988,981.9179,1151.9118
2902700,144.0,502.0,364.0
2902800,46.0,362.0,464.0
3000100,144.0,496.0,419.0
3000200,206.0,590.0,635.0
3000300,203.0,590.0,508.0
3000400,171.0,450.0,428.0
3000500,257.0,700.0,540.0
3000690,255.0,743.0,824.0
3100100,48.0,336.0,401.0
3100200,79.0,379.0,620.0
3100300,47.0,274.0,389.0
3100400,50.0,284.0,384.0
3100500,76.0,316.0,411.0
3100600,63.0,298.0,545.0
3100701,58.0,200.0,297.0
3100702,65.0,283.0,319.0
3100800,146.0,770.0,943.0
3100900,296.0,1423.0,1486.0
3200100,260.0,1169.0,942.0
3200200,131.0,405.0,333.0
3200300,75.0,454.0,278.0
3200400,1228.0,4915.0,3288.0
3300100,110.0,535.0,339.0
3300290,672.0,3050.0,3134.0
3300500,64.0,256.0,288.0
3400190,255.0,1743.0,1081.0
3400300,484.9515,2597.7402,3252.6747
3400400,151.0,1056.0,1302.0
3400600,216.0,1581.0,1442.0
3400800,84.0,332.0,374.0
3400900,248.0,1854.0,1972.0
3401000,164.0164,822.0822000000001,921.0921000000001
3401100,480.9519,1869.813,1837.8162
3401200,268.0,1284.0,1421.0
3401300,310.0,1722.0,2140.0
3401500,314.03139999999996,1360.136,1595.1595
3401600,65.0,292.0,390.0
3401700,42.0,257.0,308.0
3401800,189.0,1264.0,1557.0
3402000,178.0,922.0,1060.0
3402100,156.0,1061.0,1225.0
3402200,98.0,557.0,695.0
3402300,163.0,856.0,1073.0
3402490,59.0,347.0,518.0
3500190,45.0,419.0,389.0
3500300,57.0,338.0,240.0
3500400,28.0,258.0,253.0
3500500,154.0,448.0,439.0
3500600,29.0,172.0,161.0
3500790,247.9761,1607.8479,1544.8542
3500900,18.0,254.0,180.0
3501000,45.0,347.0,326.0
3501100,58.0,301.0,295.0
3501200,24.0,294.0,279.0
3600100,25.0,247.0,226.0
3600200,114.0,601.0,356.0
3600300,125.0,541.0,317.0
3600400,185.0,1047.0,888.0
3600500,83.0,386.0,327.0
3600600,48.0,273.0,261.0
3600700,266.978,1362.8809,1406.8765
3600800,58.0,248.0,276.0
3600900,340.0,1711.0,1726.0
3601000,45.0,203.0,242.0
3601100,83.0,545.0,481.0
3601200,385.0,2354.0,2472.0
3601300,52.0,234.0,259.0
3601400,83.0,387.0,339.0
3601500,66.0,298.0,274.0
3601600,40.0,230.0,234.0
3601700,51.0,337.0,308.0
3601800,141.0,573.0,464.0
3601900,42.0,381.0,342.0
3602000,168.0,1063.0,1064.0
3602100,107.0,392.0,258.0
3602200,148.0074,854.0548,844.0509
3602300,61.0,346.0,229.0
3602400,79.0,506.00000000000006,475.0
3602500,38.0,306.0,325.0
3602600,66.0,345.0,397.0
3602700,212.0,857.0,665.0
3602800,174.0,814.0,766.0
3602900,168.0,967.0,978.0
3603000,205.0,818.0,1041.0
3603100,828.0,2946.0,3760.0
3603200,911.0911,3810.381,4997.4997
3603300,928.9071,3938.6061,4818.5181
3603700,157.0157,1992.1992,2205.2205
3603800,4916.0,10428.0,11015.0
3603900,145.0145,894.0894000000001,1031.1031
3604000,1314.737,6190.7616,6171.765399999999
3604100,579.942,5604.4394999999995,6080.3919
3700100,76.0,350.0,359.0
3700200,43.0,288.0,352.0
3700300,38.0,208.0,305.0
3700400,25.0,139.0,246.0
3700590,42.0,307.0,515.0
3700700,28.0,236.0,273.0
3700800,80.0,443.0,317.0
3700900,34.0,244.0,295.0
3701000,20.0,170.0,227.0
3701100,42.0,303.0,331.0
3701200,479.952,2509.7490000000003,2654.7345
3701300,124.0,798.0,717.0
3701400,79.0,334.0,319.0
3701500,43.0,207.0,331.0
3701600,54.0,338.0,346.0
3701700,195.9804,1196.8803,1302.8697
3701800,149.0,816.0,906.0
3701990,143.0,501.99999999999994,650.0
3702000,35.0,158.0,276.0
3702100,34.0,218.0,302.0
3702200,185.0,871.0,808.0
3702390,102.0,634.0,586.0
3702500,65.0,323.0,415.0
3702690,88.0,442.0,772.0
3702800,54.0,361.0,436.0
3703000,44.0,386.0,562.0
3703100,611.0,2790.0,2728.0
3703290,123.0,528.0,660.0
3703400,60.0,225.0,334.0
3703500,36.0,236.0,340.0
3703600,35.0,209.0,296.0
3703700,53.0,279.0,301.0
3703800,23.0,164.0,191.0
3703900,16.0,156.0,236.0
3704000,27.0,206.0,288.0
3704190,52.0,496.0,479.0
3704200,53.0,366.0,352.0
3704300,31.0,208.0,236.0
3704400,83.0,375.0,358.0
3704690,185.0,904.0,800.0
3704800,71.0,305.0,218.0
3704990,32.0,319.0,385.0
3705000,75.0,701.0,660.0
3705200,23.0,150.0,248.0
3705390,75.0,356.0,546.0
3800100,116.0,652.0,717.0
3800200,71.0,376.0,465.0
3800300,66.0,299.0,488.0
3800400,69.0,298.0,355.0
3800500,118.0,456.0,505.0
3900100,21.0,244.0,363.0
3900290,250.01,1583.0695,1532.0662
3900700,89.0,398.0,342.0
3900800,104.0,513.0,637.0
3900900,462.0,3025.0,3178.0
3901090,125.0,686.0,815.0
3901300,38.0,225.0,228.0
3901490,131.0,922.0,1063.0
3901700,45.0,327.0,314.0
3901800,199.0,1242.0,1447.0
3901900,72.0,322.0,405.0
3902000,29.0,193.0,291.0
3902100,32.0,199.0,329.0
3902200,37.0,225.0,324.0
3902300,36.0,239.0,352.0
3902400,40.0,246.0,293.0
3902500,40.0,215.0,301.0
3902600,47.0,244.0,343.0
3902700,42.0,190.0,255.0
3902800,42.0,236.0,345.0
3902900,31.0,207.0,300.0
3903000,39.0,218.0,344.0
3903190,137.9874,826.9217,1048.9017
3903400,28.0,177.0,287.0
3903500,37.0,250.0,382.0
3903600,22.0,183.0,253.0
3903700,36.0,226.0,285.0
3903800,69.0,314.0,327.0
3903900,47.0,262.0,299.0
3904000,87.0,484.0,400.0
3904100,426.95730000000003,2996.7003,2640.7359
3904200,46.0,209.0,284.0
3904300,34.0,214.0,288.0
3904400,26.0,188.0,266.0
3904500,41.0,228.0,352.0
3904600,166.0,1089.0,1190.0
3904700,37.0,350.0,335.0
3904800,27.0,185.0,200.0
3904900,21.0,180.0,184.0
3905000,22.0,231.0,236.0
3905100,22.0,197.0,238.0
3905200,28.0,156.0,212.0
3905300,84.0,384.0,437.0
3905400,103.0,719.0,757.0
3905500,329.967,2009.799,2024.7975
3905690,77.0,360.0,439.0
4000190,99.0,688.0,845.0
4000200,23.0,182.0,147.0
4000300,26.0,279.0,307.0
4000400,30.0,237.0,301.0
4000500,22.0,256.0,397.0
4000600,49.0,394.0,452.0
4000700,72.0,477.0,538.0
4000800,27.0,237.0,250.0
4000900,88.0,595.0,483.0
4001000,278.9442,2139.572,2041.5916
4001100,61.0,404.0,512.0
4001290,326.0,2279.0,2434.0
4001400,45.0,261.0,331.0
4100100,53.0,345.0,341.0
4100200,55.0,342.0,305.0
4100300,40.0,339.0,275.0
4100400,146.0,620.0,531.0
4100500,80.0,778.0,423.0
4100600,74.0,456.0,487.0
4100700,173.0,1017.0,889.0
4100800,62.0,502.0,349.0
4100900,118.0,613.0,456.0
4101000,31.0,270.0,244.0
4101100,130.0,777.0,726.0
4101200,46.0,383.0,372.0
4101325,567.0567,3163.3163,2603.2603
4101326,195.0,881.0,1005.0
4101327,263.0,1310.0,1198.0
4200100,114.0,632.0,770.0
4200200,48.0,247.0,371.0
4200300,56.0,409.0,600.0
4200400,30.0,243.0,310.0
4200500,72.0,358.0,391.0
4200600,65.0,396.0,401.0
4200700,79.0,652.0,627.0
4200800,120.0,931.0,968.0
4200900,49.0,356.0,468.0
4201000,25.0,213.0,315.0
4201100,43.0,301.0,459.0
4201200,83.0,338.0,374.0
4201300,38.0,314.0,483.0
4201400,44.0,269.0,364.0
4201500,70.0,479.0,766.0
4201600,85.0,390.0,577.0
4201700,601.0,3395.0,3879.0
4201900,37.0,265.0,445.0
4202000,160.9839,784.9214999999999,1063.8935999999999
4202100,48.0,290.0,461.0
4202200,61.0,361.0,574.0
4202300,85.0,640.0,893.0
4202400,119.0,690.0,995.0
4202500,47.0,224.0,413.0
4202600,34.0,258.0,393.0
4202700,147.0,772.0,1110.0
4202890,269.0,1610.0,1902.0
4203000,293.9706,1435.8564000000001,1803.8196
4203100,459.0,2033.0,2595.0
4203200,468.0468,4015.4015,3529.3529
4203300,218.02179999999998,1157.1157,1432.1432
4203400,258.9741,1055.8944000000001,1456.8543
4203500,184.0,1120.0,1722.0
4203600,153.0,778.0,1193.0
4203700,97.0,506.0,746.0
4203800,49.0,282.0,495.0
4203900,40.0,269.0,361.0
4204000,98.0,499.0,723.0
4400100,243.0,1702.0,1695.0
4400201,73.0,466.0,487.0
4400300,137.0,524.0,423.0
4400400,139.0,460.0,359.0
