PUMA,ENT,FOD,SRV
0100100,46.7864,310.0152,452.8016
0100200,43.84440000000001,290.63880000000006,359.8702
0100301,41.2032,260.0064,276.3456
0100302,35.171200000000006,221.94240000000002,235.88960000000003
0100400,17.0,145.0,204.0
0100500,34.7696,231.3392,233.8168
0100600,28.0,211.0,337.0
0100700,25.0,163.0,245.0
0100800,18.0,152.0,253.0
0100900,20.0,167.0,247.0
0101000,16.0,178.0,282.0
0101100,18.0,191.0,299.0
0101200,75.0,359.0,503.0
0101301,35.519200000000005,212.5028,274.3552
0101302,35.9832,215.2788,277.93919999999997
0101303,59.948800000000006,358.6592,463.05280000000005
0101304,61.5496,368.23639999999995,475.4176
0101305,38.9992,233.3228,301.2352
0101400,19.2136,160.9848,267.1984
0101500,29.175199999999997,169.4339,202.83849999999998
0101600,31.824800000000003,208.5661,230.16150000000002
0101700,26.0,144.0,238.0
0101800,14.0,158.0,340.0
0101900,23.0,346.0,279.0
0102000,51.414,390.7464,544.9884
0102100,39.586,252.2536,362.0116
0102200,13.0,166.0,318.0
0102300,31.0,182.0,298.0
0102400,23.0,218.0,259.0
0102500,43.0,335.0,445.0
0102600,96.0,500.0,501.0
0102701,26.2836,171.648,253.7172
0102702,25.460399999999996,166.272,245.77079999999998
0102703,46.256,302.08,446.512
0200101,72.672,307.0392,358.818
0200102,87.32799999999999,368.96079999999995,431.18199999999996
0200200,143.0,371.0,404.0
0200300,193.0,418.0,444.0
0200400,80.0,159.0,211.0
0400100,41.61,224.40200000000002,212.8972
0400101,54.5775,294.3355,279.2453
0400102,48.8775,263.59549999999996,250.08129999999997
0400103,39.614999999999995,213.643,202.6898
0400104,37.4775,202.1155,191.7533
0400105,50.5875,272.8175,258.8305
0400106,42.6075,229.7815,218.0009
0400107,37.4775,202.1155,191.7533
0400108,37.762499999999996,203.6525,193.2115
0400109,38.190000000000005,205.958,195.3988
0400110,43.605,235.161,223.1046
0400111,39.1875,211.3375,200.5025
0400112,39.33,212.106,201.2316
0400113,38.190000000000005,205.958,195.3988
0400114,38.76,209.03199999999998,198.31519999999998
0400115,38.0475,205.1895,194.6697
0400116,37.4775,202.1155,191.7533
0400117,37.4775,202.1155,191.7533
0400118,40.612500000000004,219.0225,207.7935
0400119,39.33,212.106,201.2316
0400120,37.335,201.347,191.0242
0400121,46.169999999999995,248.994,236.2284
0400122,38.9025,209.8005,199.04430000000002
0400123,40.47,218.25400000000002,207.0644
0400124,37.4775,202.1155,191.7533
0400125,38.0475,205.1895,194.6697
0400126,45.457499999999996,245.15149999999997,232.5829
0400127,42.3225,228.24450000000002,216.5427
0400128,38.475,207.495,196.857
0400129,39.4725,212.87449999999998,201.9607
0400130,43.32,233.624,221.6464
0400131,38.6175,208.2635,197.5861
0400132,38.3325,206.72650000000002,196.1279
0400133,38.76,209.03199999999998,198.31519999999998
0400134,41.04,221.328,209.9808
0400201,34.7784,177.1944,187.7208
0400202,39.6312,201.9192,213.9144
0400203,37.6429,191.78889999999998,203.1823
0400204,35.890499999999996,182.8605,193.7235
0400205,42.023900000000005,214.1099,226.82930000000002
0400206,35.1154,178.91140000000001,189.5398
0400207,35.048,178.56799999999998,189.176
0400208,37.1374,189.2134,200.4538
0400209,39.6986,202.2626,214.2782
0400300,28.0,200.0,210.0
0400400,117.0,423.0,335.0
0400500,107.0,463.0,511.0
0400600,43.0,379.0,397.0
0400700,30.0,277.0,266.0
0400800,26.023,177.1324,149.7104
0400803,23.009,103.86919999999999,110.44319999999999
0400805,21.266000000000002,96.0008,102.0768
0400807,23.702,106.9976,113.7696
0400900,46.0,272.0,304.0
0500100,75.0,451.0,477.0
0500200,78.0,527.0,482.0
0500300,56.0,268.0,347.0
0500400,33.0,194.0,304.0
0500500,35.3818,323.1481,371.2558
0500600,33.6182,148.8519,175.7442
0500700,24.0,125.0,213.0
0500800,21.0,168.0,234.0
0500900,71.80739999999999,473.72219999999993,634.9014
0501000,67.1926,443.2778,594.0986
0501100,42.0,284.0,370.0
0501200,25.0,138.0,196.0
0501300,30.0,200.0,308.0
0501400,40.0,346.0,402.0
0501500,9.0,131.0,228.0
0501600,61.0,339.0,408.0
0501700,13.6176,140.6576,215.27519999999998
0501800,19.3824,134.3424,216.72480000000002
0501900,23.0,148.0,304.0
0502000,9.0,119.0,193.0
0600101,53.7292,353.8836,327.58320000000003
0600102,64.80930000000001,426.8619,395.1378
0600103,51.3151,337.9833,312.8646
0600104,51.0675,336.3525,311.355
0600105,67.0377,441.53909999999996,408.7242
0600106,55.214800000000004,363.6684,336.6408
0600107,59.6716,393.0228,363.8136
0600108,55.524300000000004,365.7069,338.5278
0600109,77.7464,512.0712,474.01439999999997
0600110,82.8222,545.5026,504.9612
0600300,103.0,472.0,419.0
0600701,32.4032,222.26569999999998,227.3287
0600702,31.5968,216.73430000000002,221.6713
0601100,39.0,190.0,189.0
0601301,44.854,225.364,228.8648
0601302,46.371,232.98600000000002,236.60520000000002
0601303,50.676,254.616,258.5712
0601304,46.043,231.338,234.9316
0601305,48.708,244.728,248.52960000000002
0601306,43.87,220.42,223.844
0601307,47.068,236.488,240.1616
0601308,41.902,210.532,213.8024
0601309,40.508,203.528,206.68959999999998
0601500,49.0,256.0,234.0
0601700,98.0,414.0,358.0
0601901,30.478,244.6015,220.499
0601902,36.5736,293.5218,264.5988
0601903,21.462,172.2435,155.271
0601904,35.8484,287.7017,259.3522
0601905,22.7948,182.9399,164.9134
0601906,21.6188,173.5019,156.4054
0601907,27.2244,218.4897,196.9602
0602300,58.0,318.0,298.0
0602500,23.0,244.0,200.0
0602901,33.251400000000004,304.46520000000004,258.999
0602902,35.0742,321.1556,273.197
0602903,27.165599999999998,248.74079999999998,211.596
0602904,18.874799999999997,172.82639999999998,147.01799999999997
0602905,32.619299999999996,298.6774,254.07549999999998
0603100,18.0,175.0,160.0
0603300,65.0,338.0,302.0
0603701,251.15540000000001,321.8856,298.10060000000004
0603702,339.5904,435.2256,403.06559999999996
0603703,295.3729,378.55559999999997,350.5831
0603704,295.3729,378.55559999999997,350.5831
0603705,300.67900000000003,385.35600000000005,356.88100000000003
0603706,245.84929999999997,315.0852,291.80269999999996
0603707,272.3798,349.0872,323.29220000000004
0603708,245.84929999999997,315.0852,291.80269999999996
0603709,198.0944,253.8816,235.1216
0603710,313.0599,401.22360000000003,371.5761
0603711,295.3729,378.55559999999997,350.5831
0603712,265.305,340.02,314.895
0603713,198.0944,253.8816,235.1216
0603714,196.3257,251.6148,233.0223
0603715,215.78140000000002,276.5496,256.1146
0603716,198.0944,253.8816,235.1216
0603717,341.3591,437.49240000000003,405.16490000000005
0603718,244.0806,312.8184,289.7034
0603719,343.12780000000004,439.7592,407.2642
0603720,212.244,272.016,251.916
0603721,240.54319999999998,308.28479999999996,285.5048
0603722,286.5294,367.22159999999997,340.0866
0603723,254.6928,326.4192,302.2992
0603724,300.67900000000003,385.35600000000005,356.88100000000003
0603725,304.2164,389.8896,361.0796
0603726,182.1761,233.4804,216.2279
0603727,272.3798,349.0872,323.29220000000004
0603728,183.9448,235.7472,218.32719999999998
0603729,351.97130000000004,451.0932,417.76070000000004
0603730,295.3729,378.55559999999997,350.5831
0603731,194.557,249.34799999999998,230.92299999999997
0603732,318.366,408.02399999999994,377.87399999999997
0603733,203.4005,260.682,241.4195
0603734,351.97130000000004,451.0932,417.76070000000004
0603735,348.4339,446.5596,413.5621
0603736,206.9379,265.2156,245.6181
0603737,231.6997,296.9508,275.0083
0603738,237.00580000000002,303.7512,281.3062
0603739,300.67900000000003,385.35600000000005,356.88100000000003
0603740,231.6997,296.9508,275.0083
0603741,258.2302,330.9528,306.4978
0603742,237.00580000000002,303.7512,281.3062
0603743,222.8562,285.6168,264.5118
0603744,307.75379999999996,394.42319999999995,365.27819999999997
0603745,221.0875,283.35,262.4125
0603746,198.0944,253.8816,235.1216
0603747,284.7607,364.9548,337.9873
0603748,320.1347,410.29080000000005,379.97330000000005
0603749,205.1692,262.9488,243.51879999999997
0603750,311.2912,398.95680000000004,369.4768
0603751,267.07370000000003,342.2868,316.9943
0603752,309.52250000000004,396.69000000000005,367.37750000000005
0603753,198.0944,253.8816,235.1216
0603754,245.84929999999997,315.0852,291.80269999999996
0603755,217.55010000000001,278.8164,258.2139
0603756,212.244,272.016,251.916
0603757,282.992,362.688,335.88800000000003
0603758,277.6859,355.88759999999996,329.59009999999995
0603759,203.4005,260.682,241.4195
0603760,249.3867,319.61879999999996,296.0013
0603761,226.39360000000002,290.1504,268.7104
0603762,203.4005,260.682,241.4195
0603763,256.4615,328.68600000000004,304.3985
0603764,286.5294,367.22159999999997,340.0866
0603765,233.4684,299.2176,277.1076
0603766,183.9448,235.7472,218.32719999999998
0603767,320.1347,410.29080000000005,379.97330000000005
0603768,201.6318,258.4152,239.3202
0603769,182.1761,233.4804,216.2279
0603900,30.0,175.0,170.0
0604101,125.4508,292.0262,331.4892
0604102,176.5492,410.9738,466.5108
0604701,18.404999999999998,133.743,110.839
0604702,26.595,193.25699999999998,160.161
0605301,62.8035,358.275,319.9185
0605302,58.5868,334.21999999999997,298.4388
0605303,42.5948,241.42000000000002,226.5668
0605500,71.0,309.0,319.0
0605700,84.0,231.0,246.0
0605901,82.6,468.755,401.849
0605902,49.28,279.66400000000004,239.74720000000002
0605903,92.4,524.37,449.526
0605904,93.10000000000001,528.3425,452.9315
0605905,91.84,521.192,446.80160000000006
0605906,82.32,467.166,400.48679999999996
0605907,88.2,500.535,429.093
0605908,82.74,469.5495,402.5301
0605909,68.03999999999999,386.12699999999995,331.0146
0605910,88.61999999999999,502.91849999999994,431.13629999999995
0605911,64.12,363.88100000000003,311.9438
0605912,77.56,440.15299999999996,377.32939999999996
0605913,74.34,421.8795,361.6641
0605914,88.48,502.124,430.45520000000005
0605915,46.480000000000004,263.774,226.1252
0605916,70.56,400.428,343.2744
0605917,76.58,434.5915,372.5617
0605918,82.6,468.755,401.849
0606101,62.708800000000004,318.8885,312.1188
0606102,56.812799999999996,288.906,282.77279999999996
0606103,56.496,287.295,281.196
0606501,51.6844,308.4604,274.1413
0606502,37.5544,224.1304,199.1938
0606503,36.5496,218.1336,193.8642
0606504,36.3612,217.0092,192.8649
0606505,50.428399999999996,300.9644,267.47929999999997
0606506,42.3272,252.61520000000002,224.5094
0606507,41.3224,246.61839999999998,219.1798
0606508,52.3124,312.2084,277.4723
0606509,33.7864,201.6424,179.2078
0606510,42.2016,251.86559999999997,223.8432
0606511,47.2256,281.8496,250.49120000000002
0606512,28.825200000000002,172.03320000000002,152.8929
0606513,41.6364,248.4924,220.84529999999998
0606514,42.6412,254.4892,226.1749
0606515,43.080799999999996,257.1128,228.5066
0606701,29.9364,214.74179999999998,226.4496
0606702,31.552400000000002,226.3338,238.67360000000002
0606703,31.148400000000002,223.4358,235.6176
0606704,34.0976,244.59120000000001,257.9264
0606705,29.694,213.003,224.61599999999999
0606706,33.2088,238.2156,251.20319999999998
0606707,32.3604,232.12980000000002,244.78560000000002
0606708,37.895199999999996,271.8324,286.65279999999996
0606709,39.2284,281.3958,296.73760000000004
0606710,43.4704,311.8248,328.8256
0606711,30.3404,217.6398,229.5056
0606712,31.0676,222.8562,235.00639999999999
0607101,30.414,237.14700000000002,216.049
0607102,35.342400000000005,275.5752,251.0584
0607103,36.452400000000004,284.2302,258.9434
0607104,24.064799999999998,187.6404,170.9468
0607105,29.970000000000002,233.685,212.895
0607106,22.3776,174.4848,158.9616
0607107,23.1768,180.71640000000002,164.6388
0607108,36.940799999999996,288.03839999999997,262.4128
0607109,23.6652,184.5246,168.1082
0607110,23.1324,180.3702,164.3234
0607111,36.0528,281.1144,256.10479999999995
0607112,26.3736,205.6428,187.3476
0607113,36.4968,284.5764,259.2588
0607114,33.8772,264.1506,240.6502
0607115,25.6188,199.75740000000002,181.9858
0607301,82.4824,453.9304,430.584
0607302,50.4803,277.81129999999996,263.52299999999997
0607303,46.3294,254.9674,241.85399999999998
0607304,49.6769,273.3899,259.329
0607305,49.9447,274.8637,260.727
0607306,59.4516,327.1836,310.356
0607307,45.6599,251.28289999999998,238.35899999999998
0607308,53.9617,296.9707,281.697
0607309,69.89580000000001,384.6618,364.87800000000004
0607310,72.306,397.926,377.46
0607311,48.070100000000004,264.5471,250.941
0607312,47.534499999999994,261.5995,248.14499999999998
0607313,76.0552,418.55920000000003,397.03200000000004
0607314,64.1381,352.9751,334.82099999999997
0607315,65.4771,360.34409999999997,341.811
0607316,71.6365,394.2415,373.965
0607317,70.5653,388.3463,368.373
0607318,67.3517,370.66069999999996,351.597
0607319,56.1041,308.7611,292.881
0607320,58.514300000000006,322.0253,305.463
0607321,75.11789999999999,413.4009,392.13899999999995
0607322,58.3804,321.2884,304.764
0607501,106.4826,714.9303,475.2594
0607502,83.19539999999999,558.5786999999999,371.32259999999997
0607503,100.34779999999999,673.7409,447.8782
0607504,82.88239999999999,556.4771999999999,369.9256
0607505,81.8808,549.7524,365.4552
0607506,86.1376,578.3328,384.4544
0607507,85.07339999999999,571.1877,379.70459999999997
0607701,38.8314,288.5706,290.60100000000006
0607702,33.9354,252.1866,253.96099999999998
0607703,43.6509,324.3861,326.6685
0607704,36.582300000000004,271.8567,273.7695
0607901,84.05330000000001,482.55060000000003,366.4482
0607902,54.9467,315.44939999999997,239.5518
0608101,60.005399999999995,392.1372,328.8831
0608102,51.307599999999994,335.29679999999996,281.21139999999997
0608103,45.5614,297.7452,249.71710000000002
0608104,51.872800000000005,338.9904,284.30920000000003
0608105,55.6094,363.4092,304.7891
0608106,49.6434,324.4212,272.0901
0608301,74.907,308.81199999999995,282.121
0608302,63.1359,260.2844,237.7877
0608303,122.931,506.796,462.993
0608501,72.0072,534.0808000000001,421.08320000000003
0608502,54.0711,401.04789999999997,316.1966
0608503,48.0267,356.2163,280.8502
0608504,47.5668,352.8052,278.1608
0608505,39.091499999999996,289.9435,228.599
0608506,40.668299999999995,301.6387,237.8198
0608507,50.3262,373.2718,294.29720000000003
0608508,49.2093,364.98769999999996,287.76579999999996
0608509,44.9388,333.3132,262.7928
0608510,55.5165,411.7685,324.649
0608511,38.4345,285.07050000000004,224.757
0608512,38.894400000000005,288.4816,227.4464
0608513,40.1427,297.7403,234.74620000000002
0608514,38.106,282.634,222.836
