,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,TYPE,CBSA_NAME
0,600100,06,California,006,00100,06,00100,POINT (-2234513.5186027084 322640.23786463443),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
1,600700,06,California,006,00700,06,00700,POINT (-2150235.3608877943 534214.0203136775),Metro,"Chico, CA Metro Area"
2,601100,06,California,006,01100,06,01100,POINT (-2216786.2610064456 604917.4494366695),Nonmetro,"Red Bluff, CA Micro Area"
3,601300,06,California,006,01300,06,01300,POINT (-2229879.805136674 352695.13960709283),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
4,601500,06,California,006,01500,06,01500,POINT (-2096371.819538961 692307.6508446125),Metro,"Redding, CA Metro Area"
5,601700,06,California,006,01700,06,01700,POINT (-2087339.0818066744 414184.82773163397),T34,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
6,601900,06,California,006,01900,06,01900,POINT (-2070500.0385958732 175923.5536188975),Metro,"Fresno, CA Metro Area"
7,602300,06,California,006,02300,06,02300,POINT (-2302538.071593191 698332.1798871111),Nonmetro,"Eureka-Arcata-Fortuna, CA Micro Area"
8,602900,06,California,006,02900,06,02900,POINT (-2028685.4823970208 2244.6366708038818),Metro,"Bakersfield, CA Metro Area"
9,603100,06,California,006,03100,06,03100,POINT (-2103406.2602396226 105312.15151100713),Metro,"Hanford-Corcoran, CA Metro Area"
10,603300,06,California,006,03300,06,03300,POINT (-2292380.788419982 537392.1519731148),Nonmetro,"Ukiah, CA Micro Area"
11,603700,06,California,006,03700,06,03700,POINT (-2010993.1873027533 -119561.57245645297),T34,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
12,603900,06,California,006,03900,06,03900,POINT (-2067305.305941909 228215.85702568135),Metro,"Madera, CA Metro Area"
13,604100,06,California,006,04100,06,04100,POINT (-2291285.5589902545 388330.6204251727),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
14,604700,06,California,006,04700,06,04700,POINT (-2149177.1281577605 246537.5921843773),Metro,"Merced, CA Metro Area"
15,605300,06,California,006,05300,06,05300,POINT (-2214378.19365991 164303.07222181422),Metro,"Salinas, CA Metro Area"
16,605500,06,California,006,05500,06,05500,POINT (-2245523.0856967582 425951.54008474963),Metro,"Napa, CA Metro Area"
17,605700,06,California,006,05700,06,05700,POINT (-2078206.6416401928 488460.79075895343),Nonmetro,"Truckee-Grass Valley, CA Micro Area"
18,605900,06,California,006,05900,06,05900,POINT (-1985454.6786815694 -196674.75984104228),T34,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
19,606100,06,California,006,06100,06,06100,POINT (-2095270.8653344612 449321.6171441111),T34,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
20,606700,06,California,006,06700,06,06700,POINT (-2164533.3735171375 397288.5483051327),T34,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
21,607500,06,California,006,07500,06,07500,POINT (-2277982.9697124874 347644.51530429494),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
22,607700,06,California,006,07700,06,07700,POINT (-2174248.663956962 339492.27234681783),Metro,"Stockton-Lodi, CA Metro Area"
23,607900,06,California,006,07900,06,07900,POINT (-2173674.985974461 43957.536555922496),Metro,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area"
24,608100,06,California,006,08100,06,08100,POINT (-2278688.2694090367 308909.44138184976),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
25,608300,06,California,006,08300,06,08300,POINT (-2159967.4632704477 -42183.69592047767),Metro,"Santa Maria-Santa Barbara, CA Metro Area"
26,608500,06,California,006,08500,06,08500,POINT (-2230794.7937275013 273324.8543884429),Metro,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
27,608700,06,California,006,08700,06,08700,POINT (-2262105.596078427 261685.37992560407),Metro,"Santa Cruz-Watsonville, CA Metro Area"
28,608900,06,California,006,08900,06,08900,POINT (-2153062.61908402 662591.9724010158),Metro,"Redding, CA Metro Area"
29,609500,06,California,006,09500,06,09500,POINT (-2218746.1410212233 392008.8911569663),Metro,"Vallejo-Fairfield, CA Metro Area"
30,609700,06,California,006,09700,06,09700,POINT (-2291010.134806198 441529.2626694913),Metro,"Santa Rosa, CA Metro Area"
31,609900,06,California,006,09900,06,09900,POINT (-2162271.1604343867 292651.6564544711),Metro,"Modesto, CA Metro Area"
32,610100,06,California,006,10100,06,10100,POINT (-2158717.420866184 477078.57805121253),Metro,"Yuba City, CA Metro Area"
