PUMA,State,MIGPUMA
0100100,01,0100190
0100200,01,0100290
0100301,01,0100290
0100302,01,0100290
0100400,01,0100400
0100500,01,0100290
0100600,01,0100600
0100700,01,0100700
0100800,01,0100800
0100900,01,0100900
0101000,01,0101000
0101100,01,0101100
0101200,01,0101200
0101301,01,0101300
0101302,01,0101300
0101303,01,0101300
0101304,01,0101300
0101305,01,0101300
0101400,01,0100190
0101500,01,0101590
0101600,01,0101590
0101700,01,0101700
0101800,01,0101800
0101900,01,0101900
0102000,01,0102090
0102100,01,0102090
0102200,01,0102200
0102300,01,0102300
0102400,01,0102400
0102500,01,0102500
0102600,01,0102600
0102701,01,0102700
0102702,01,0102700
0102703,01,0102700
0200101,02,0200100
0200102,02,0200100
0200200,02,0200200
0200300,02,0200300
0200400,02,0200400
0400100,04,0400100
0400101,04,0400100
0400102,04,0400100
0400103,04,0400100
0400104,04,0400100
0400105,04,0400100
0400106,04,0400100
0400107,04,0400100
0400108,04,0400100
0400109,04,0400100
0400110,04,0400100
0400111,04,0400100
0400112,04,0400100
0400113,04,0400100
0400114,04,0400100
0400115,04,0400100
0400116,04,0400100
0400117,04,0400100
0400118,04,0400100
0400119,04,0400100
0400120,04,0400100
0400121,04,0400100
0400122,04,0400100
0400123,04,0400100
0400124,04,0400100
0400125,04,0400100
0400126,04,0400100
0400127,04,0400100
0400128,04,0400100
0400129,04,0400100
0400130,04,0400100
0400131,04,0400100
0400132,04,0400100
0400133,04,0400100
0400134,04,0400100
0400201,04,0400200
0400202,04,0400200
0400203,04,0400200
0400204,04,0400200
0400205,04,0400200
0400206,04,0400200
0400207,04,0400200
0400208,04,0400200
0400209,04,0400200
0400300,04,0400300
0400400,04,0400400
0400500,04,0400500
0400600,04,0400600
0400700,04,0400700
0400800,04,0400800
0400803,04,0400800
0400805,04,0400800
0400807,04,0400800
0400900,04,0400900
0500100,05,0500100
0500200,05,0500200
0500300,05,0500300
0500400,05,0500400
0500500,05,0500590
0500600,05,0500590
0500700,05,0500700
0500800,05,0500800
0500900,05,0500900
0501000,05,0500900
0501100,05,0501100
0501200,05,0501200
0501300,05,0501300
0501400,05,0501400
0501500,05,0501500
0501600,05,0501600
0501700,05,0501790
0501800,05,0501790
0501900,05,0501900
0502000,05,0502000
0600101,06,0600100
0600102,06,0600100
0600103,06,0600100
0600104,06,0600100
0600105,06,0600100
0600106,06,0600100
0600107,06,0600100
0600108,06,0600100
0600109,06,0600100
0600110,06,0600100
0600300,06,0600300
0600701,06,0600700
0600702,06,0600700
0601100,06,0601100
0601301,06,0601300
0601302,06,0601300
0601303,06,0601300
0601304,06,0601300
0601305,06,0601300
0601306,06,0601300
0601307,06,0601300
0601308,06,0601300
0601309,06,0601300
0601500,06,0601500
0601700,06,0601700
0601901,06,0601900
0601902,06,0601900
0601903,06,0601900
0601904,06,0601900
0601905,06,0601900
0601906,06,0601900
0601907,06,0601900
0602300,06,0602300
0602500,06,0602500
0602901,06,0602900
0602902,06,0602900
0602903,06,0602900
0602904,06,0602900
0602905,06,0602900
0603100,06,0603100
0603300,06,0603300
0603701,06,0603700
0603702,06,0603700
0603703,06,0603700
0603704,06,0603700
0603705,06,0603700
0603706,06,0603700
0603707,06,0603700
0603708,06,0603700
0603709,06,0603700
0603710,06,0603700
0603711,06,0603700
0603712,06,0603700
0603713,06,0603700
0603714,06,0603700
0603715,06,0603700
0603716,06,0603700
0603717,06,0603700
0603718,06,0603700
0603719,06,0603700
0603720,06,0603700
0603721,06,0603700
0603722,06,0603700
0603723,06,0603700
0603724,06,0603700
0603725,06,0603700
0603726,06,0603700
0603727,06,0603700
0603728,06,0603700
0603729,06,0603700
0603730,06,0603700
0603731,06,0603700
0603732,06,0603700
0603733,06,0603700
0603734,06,0603700
0603735,06,0603700
0603736,06,0603700
0603737,06,0603700
0603738,06,0603700
0603739,06,0603700
0603740,06,0603700
0603741,06,0603700
0603742,06,0603700
0603743,06,0603700
0603744,06,0603700
0603745,06,0603700
0603746,06,0603700
0603747,06,0603700
0603748,06,0603700
0603749,06,0603700
0603750,06,0603700
0603751,06,0603700
0603752,06,0603700
0603753,06,0603700
0603754,06,0603700
0603755,06,0603700
0603756,06,0603700
0603757,06,0603700
0603758,06,0603700
0603759,06,0603700
0603760,06,0603700
0603761,06,0603700
0603762,06,0603700
0603763,06,0603700
0603764,06,0603700
0603765,06,0603700
0603766,06,0603700
0603767,06,0603700
0603768,06,0603700
0603769,06,0603700
0603900,06,0603900
0604101,06,0604100
0604102,06,0604100
0604701,06,0604700
0604702,06,0604700
0605301,06,0605300
0605302,06,0605300
0605303,06,0605300
0605500,06,0605500
0605700,06,0605700
0605901,06,0605900
0605902,06,0605900
0605903,06,0605900
0605904,06,0605900
0605905,06,0605900
0605906,06,0605900
0605907,06,0605900
0605908,06,0605900
0605909,06,0605900
0605910,06,0605900
0605911,06,0605900
0605912,06,0605900
0605913,06,0605900
0605914,06,0605900
0605915,06,0605900
0605916,06,0605900
0605917,06,0605900
0605918,06,0605900
0606101,06,0606100
0606102,06,0606100
0606103,06,0606100
0606501,06,0606500
0606502,06,0606500
0606503,06,0606500
0606504,06,0606500
0606505,06,0606500
0606506,06,0606500
0606507,06,0606500
0606508,06,0606500
0606509,06,0606500
0606510,06,0606500
0606511,06,0606500
0606512,06,0606500
0606513,06,0606500
0606514,06,0606500
0606515,06,0606500
0606701,06,0606700
0606702,06,0606700
0606703,06,0606700
0606704,06,0606700
0606705,06,0606700
0606706,06,0606700
0606707,06,0606700
0606708,06,0606700
0606709,06,0606700
0606710,06,0606700
0606711,06,0606700
0606712,06,0606700
0607101,06,0607100
0607102,06,0607100
0607103,06,0607100
0607104,06,0607100
0607105,06,0607100
0607106,06,0607100
0607107,06,0607100
0607108,06,0607100
0607109,06,0607100
0607110,06,0607100
0607111,06,0607100
0607112,06,0607100
0607113,06,0607100
0607114,06,0607100
0607115,06,0607100
0607301,06,0607300
0607302,06,0607300
0607303,06,0607300
0607304,06,0607300
0607305,06,0607300
0607306,06,0607300
0607307,06,0607300
0607308,06,0607300
0607309,06,0607300
0607310,06,0607300
0607311,06,0607300
0607312,06,0607300
0607313,06,0607300
0607314,06,0607300
0607315,06,0607300
0607316,06,0607300
0607317,06,0607300
0607318,06,0607300
0607319,06,0607300
0607320,06,0607300
0607321,06,0607300
0607322,06,0607300
0607501,06,0607500
0607502,06,0607500
0607503,06,0607500
0607504,06,0607500
0607505,06,0607500
0607506,06,0607500
0607507,06,0607500
0607701,06,0607700
0607702,06,0607700
0607703,06,0607700
0607704,06,0607700
0607901,06,0607900
0607902,06,0607900
0608101,06,0608100
0608102,06,0608100
0608103,06,0608100
0608104,06,0608100
0608105,06,0608100
0608106,06,0608100
0608301,06,0608300
0608302,06,0608300
0608303,06,0608300
0608501,06,0608500
0608502,06,0608500
0608503,06,0608500
0608504,06,0608500
0608505,06,0608500
0608506,06,0608500
0608507,06,0608500
0608508,06,0608500
0608509,06,0608500
0608510,06,0608500
0608511,06,0608500
0608512,06,0608500
0608513,06,0608500
0608514,06,0608500
0608701,06,0608700
0608702,06,0608700
0608900,06,0608900
0609501,06,0609500
0609502,06,0609500
0609503,06,0609500
0609701,06,0609700
0609702,06,0609700
0609703,06,0609700
0609901,06,0609900
0609902,06,0609900
0609903,06,0609900
0609904,06,0609900
0610100,06,0610100
0610701,06,0610700
0610702,06,0610700
0610703,06,0610700
0611101,06,0611100
0611102,06,0611100
0611103,06,0611100
0611104,06,0611100
0611105,06,0611100
0611106,06,0611100
0611300,06,0611300
0800100,08,0800190
0800102,08,0800100
0800103,08,0800100
0800200,08,0800200
0800300,08,0800190
0800400,08,0800400
0800600,08,0800690
0800700,08,0800690
0800800,08,0800690
0800801,08,0800190
0800802,08,0800190
0800803,08,0800190
0800804,08,0800190
0800805,08,0800190
0800806,08,0800190
0800807,08,0800190
0800808,08,0800190
0800809,08,0800190
0800810,08,0800190
0800811,08,0800190
0800812,08,0800190
0800813,08,0800190
0800814,08,0800190
0800815,08,0800190
0800816,08,0800190
0800817,08,0800190
0800818,08,0800190
0800819,08,0800190
0800820,08,0800190
0800821,08,0800190
0800822,08,0800190
0800823,08,0800190
0800824,08,0800190
0800900,08,0800900
0801001,08,0801000
0801002,08,0801000
0804101,08,0804100
0804102,08,0804100
0804103,08,0804100
0804104,08,0804100
0804105,08,0804100
0804106,08,0804100
0900100,09,0900100
0900101,09,0900100
0900102,09,0900100
0900103,09,0900100
0900104,09,0900100
0900105,09,0900100
0900300,09,0900300
0900301,09,0900300
0900302,09,0900300
0900303,09,0900300
0900304,09,0900300
0900305,09,0900300
0900306,09,0900300
0900500,09,0900500
0900700,09,0900700
0900900,09,0900900
0900901,09,0900900
0900902,09,0900900
0900903,09,0900900
0900904,09,0900900
0900905,09,0900900
0900906,09,0900900
0901100,09,0901100
0901101,09,0901100
0901300,09,0901300
0901500,09,0901500
1000101,10,1000100
1000102,10,1000100
1000103,10,1000100
1000104,10,1000100
1000200,10,1000200
1000300,10,1000300
1100101,11,1100100
1100102,11,1100100
1100103,11,1100100
1100104,11,1100100
1100105,11,1100100
1200101,12,1200100
1200102,12,1200100
1200500,12,1200500
1200901,12,1200900
1200902,12,1200900
1200903,12,1200900
1200904,12,1200900
1201101,12,1201100
1201102,12,1201100
1201103,12,1201100
1201104,12,1201100
1201105,12,1201100
1201106,12,1201100
1201107,12,1201100
1201108,12,1201100
1201109,12,1201100
1201110,12,1201100
1201111,12,1201100
1201112,12,1201100
1201113,12,1201100
1201114,12,1201100
1201500,12,1201500
1201701,12,1201701
1201900,12,1201900
1202101,12,1202100
1202102,12,1202100
1202103,12,1202100
1202300,12,1202300
1202700,12,1202790
1203101,12,1203100
1203102,12,1203100
1203103,12,1203100
1203104,12,1203100
1203105,12,1203100
1203106,12,1203100
1203107,12,1203100
1203301,12,1203300
1203302,12,1203300
1203500,12,1203590
1205301,12,1205301
1205701,12,1205700
1205702,12,1205700
1205703,12,1205700
1205704,12,1205700
1205705,12,1205700
1205706,12,1205700
1205707,12,1205700
1205708,12,1205700
1206100,12,1206100
1206300,12,1206300
1206901,12,1206900
1206902,12,1206900
1206903,12,1206900
1207101,12,1207100
1207102,12,1207100
1207103,12,1207100
1207104,12,1207100
1207105,12,1207100
1207300,12,1207300
1207301,12,1207300
1208101,12,1208100
1208102,12,1208100
1208103,12,1208100
1208301,12,1208300
1208302,12,1208300
1208303,12,1208300
1208500,12,1208500
1208601,12,1208690
1208602,12,1208690
