MIGPUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
0100190,98529,25250,51644,21635,25062,41438,32029,779,432,1269,4032,21656,3399,13693,2146,698,3255,901,2028,565,3573,8608,14647,625,9351,1962,4910,9455,24292,24304,15228,0.2562697276943844,0.52415025018015,0.2195800221254656,0.25436166001887767,0.42056653371088715,0.3250718062702352,0.007906301697977245,0.004384495935206893,0.01287945680967025,0.04092196206193101,0.21979315734453816,0.03449745760131535,0.13897431213145367,0.021780389529986094,0.007084208710125953,0.033035958956246385,0.00914451582782734,0.02058277258472125,0.005734352322666423,0.03626343513077368,0.08736514122745588,0.14865674065503556,0.006343310091445158,0.09490606826416588,0.01991291903906464,0.04983304407839316,0.12902741576713656,0.331500156934456,0.33166391462765593,0.2078085126707515
0100290,245485,59460,132801,53224,57826,83060,104599,861,148,1392,9340,36580,7110,30755,4344,3246,4743,2830,34900,1226,20043,17766,30295,2984,22751,4707,9464,21545,52341,59277,52862,0.2422143919180398,0.5409739902641709,0.21681161781778927,0.23555818074424098,0.33835061205368966,0.4260912072020694,0.0035073426074912926,0.0006028881601727193,0.005670407560543414,0.03804713118927837,0.14901114121025724,0.02896307310018942,0.12528260382508097,0.017695582214799273,0.013222803837301669,0.01932093610607573,0.011528199278978348,0.14216754587856692,0.004994195164674013,0.0816465364482555,0.07237102063262521,0.12340876224616576,0.012155528851049962,0.09267776035195634,0.019174287634682364,0.03855225370185551,0.11581776642924338,0.2813654078752856,0.31865071898938313,0.2841661067060879
0100400,36988,8958,20085,7945,8844,17100,11044,335,21,456,1219,12229,1297,4595,1422,244,775,281,648,87,870,3299,3988,119,2856,477,1770,3995,10033,9017,4985,0.24218665513139395,0.5430139504704229,0.21479939439818319,0.2391045744565805,0.46231210122201793,0.29858332432140156,0.009056991456688656,0.0005677517032551098,0.012328322699253812,0.032956634584189466,0.33062074186222556,0.035065426624851306,0.12422947983129663,0.03844490104898886,0.0065967340759165135,0.02095274142965286,0.0075970585054612304,0.017519195414729103,0.0023521141991997407,0.023521141991997403,0.08919108900183843,0.10781875202768465,0.0032172596517789556,0.07721423164269493,0.012896074402508922,0.04785335784578782,0.14252586514448806,0.3579379236532287,0.32169104530859793,0.17784516589368535
0100600,54389,12461,30161,11767,12460,19939,21990,220,82,435,3405,13467,2161,6405,1569,280,1446,401,1670,806,3643,3884,6261,324,4793,1075,2062,5395,13647,13970,8916,0.22910882715254924,0.5545422787696042,0.21634889407784663,0.2290904410818364,0.3665998639430767,0.4043096949750869,0.004044935556822151,0.0015076577984518928,0.007997940760080164,0.06260457077717921,0.24760521428965415,0.03973229881042122,0.1177627829156631,0.02884774494842707,0.005148099799591829,0.026586258250749232,0.007372814355844012,0.030704738090422696,0.014819172994539337,0.06698045560683226,0.0714114986486238,0.11511518873301586,0.0059570869109562595,0.08812443692658442,0.019765026016290058,0.03791207780985126,0.1286729631749666,0.32548654836863194,0.33319023087197097,0.21265025758443046
0100700,36722,9555,19259,7908,8776,16409,11537,418,6,270,1515,8704,1301,4707,2771,274,877,264,732,238,1341,2961,4641,198,3053,652,1799,3442,9382,9094,5249,0.2601982462828822,0.5244540057731061,0.21534774794401176,0.23898480474919667,0.446843853820598,0.3141713414302053,0.011382822286367845,0.00016338979358422744,0.0073525407112902345,0.04125592288001743,0.23702412722618593,0.03542835357551331,0.12817929306682643,0.07545885300364903,0.007461467240346386,0.023882141495561244,0.007189150917706008,0.019933554817275746,0.006481128478841022,0.03651761886607483,0.08063286313381623,0.12638200533739993,0.005391863188279505,0.08313817330210772,0.017755024236152717,0.0489897064430042,0.12669783192844258,0.34534545588397686,0.33474435896492066,0.19321235322265984
0100800,28396,7391,15148,5857,7129,11977,9290,121,25,237,2144,4652,1639,4340,688,150,697,142,908,220,1119,2743,2840,151,3037,1053,1490,2834,7008,6789,4374,0.26028313847020706,0.5334554162558107,0.20626144527398224,0.25105648682913084,0.4217847584166784,0.3271587547541907,0.004261163544161149,0.0008804056909423862,0.008346245950133821,0.07550359205521905,0.16382589097055925,0.05771939709818284,0.15283842794759825,0.024228764614734468,0.0052824341456543175,0.02454571066347373,0.0050007043245527535,0.03197633469502747,0.007747570080292999,0.03940695872658121,0.09659811241019862,0.10001408649105507,0.005317650373292013,0.10695168333568109,0.03708268770249331,0.05247217918016622,0.13492025708164723,0.333634848845513,0.3232087598190907,0.2082361342537491
0100900,37519,9854,20000,7665,10413,15766,11340,15,39,270,1143,5651,952,4869,887,350,1016,361,729,61,3644,2941,7687,305,3832,768,1999,3625,8694,9554,5792,0.262640262267118,0.5330632479543698,0.20429648977851222,0.2775393800474426,0.4202137583624297,0.30224686159012765,0.00039979743596577733,0.001039473333511021,0.007196353847383992,0.030464564620592233,0.1506170207095072,0.025373810602628003,0.12977424771449134,0.0236413550467763,0.009328606839201472,0.027079612996081984,0.009621791625576375,0.019430155387936777,0.0016258429062608278,0.09712412377728617,0.07838695061169007,0.20488285935126202,0.008129214531304139,0.10213491830805725,0.0204696287214478,0.05327967163303926,0.13103198987890838,0.3142598951744081,0.34534610518705944,0.20936200975962407
0101000,46308,10355,25737,10216,9890,17583,18835,567,442,538,1400,14524,945,4718,1940,272,879,364,643,93,2818,5005,4882,388,2972,700,2218,4664,12341,11930,7018,0.2236114710201261,0.5557786991448562,0.2206098298350177,0.213570009501598,0.37969681264576316,0.40673317785263885,0.012244104690334283,0.009544787077826725,0.01161786300423253,0.03023235726008465,0.3136391120324782,0.020406841150557138,0.10188304396648527,0.0418934093461173,0.005873715124816446,0.018981601451153147,0.00786041288762201,0.01388528979873888,0.002008292303705623,0.06085341625637039,0.10808067720480262,0.10542454867409519,0.00837868186922346,0.0641789755549797,0.015116178630042325,0.04789669171633411,0.12972491864378494,0.3432536923205296,0.3318221010764053,0.19519928795928018
0101100,41729,10669,22121,8939,11207,16380,14142,175,0,293,1034,6602,1668,5725,987,537,921,342,1354,129,3219,4003,6568,285,4746,1004,2137,3972,9781,10446,6861,0.2556735124254116,0.5301109540127968,0.21421553356179157,0.2685662249275084,0.39253277097462197,0.3389010040978696,0.0041937261856263034,0.0,0.0070214958422200385,0.024778930719643412,0.15821131587145632,0.039972201586426705,0.13719475664406047,0.02365261568693235,0.012868748352464713,0.02207098181121043,0.008195739174195403,0.03244745860193151,0.003091375302547389,0.07714059766589182,0.09592849097749766,0.1573965347839632,0.006829782645162837,0.11373385415418534,0.024060006230678905,0.0512113877639052,0.1278815196394076,0.31490663232453314,0.33631680618158405,0.2208950418544752
0101200,89925,21745,50281,17899,19808,28628,41489,180,404,1965,4802,5283,6184,11836,1275,1240,11892,1265,7057,2227,6291,6295,7572,1608,8069,2574,1906,7171,18361,21900,20748,0.2418126216291354,0.5591437308868501,0.19904364748401446,0.22027244926327494,0.31835418404225746,0.4613733666944676,0.002001668056713928,0.004492632749513483,0.021851542952460383,0.05340005560189046,0.058748957464553796,0.06876841812621629,0.13162079510703364,0.014178482068390326,0.013789268835140395,0.13224353628023353,0.014067278287461774,0.07847650820127884,0.024765082012788434,0.06995829858215179,0.07000278009452321,0.08420350291909925,0.017881567973311092,0.08973033083124826,0.028623853211009173,0.02119544064498193,0.10517747139923732,0.2693018480492813,0.3212085655617483,0.30431211498973304
