PUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
0100100,65457,17347,34154,13956,16751,27438,21268,327,205,671,3205,15543,2637,8576,1321,487,2136,636,1422,297,2641,5368,8642,512,6493,1224,3114,6367,15886,15785,10072,0.26501367309836993,0.5217776555601387,0.21320867134149135,0.25590845898834347,0.41917594756863286,0.3249155934430237,0.004995645996608461,0.0031318270009319093,0.01025100447622103,0.04896344164871595,0.23745359549016912,0.040285989275402175,0.13101730907313197,0.020181187649907572,0.007439998777823609,0.032632109629222236,0.009716302305330217,0.021724185343049637,0.00453732985013062,0.04034709809493255,0.08200803580976825,0.13202560459538323,0.007821928899888477,0.09919489130268726,0.01869929877629589,0.047573216004399836,0.13234254832675119,0.3302016212845562,0.32810226564123884,0.20935356474745376
0100200,53503,11576,29503,12424,10810,16538,26155,513,25,317,3615,11701,1745,5572,1622,370,567,442,4612,97,3150,6841,3310,912,3905,883,3304,4480,11870,12913,12664,0.21636169934396202,0.5514270227837691,0.23221127787226883,0.20204474515447732,0.30910416238341776,0.48885109246210495,0.009588247387996934,0.00046726351793357384,0.005924901407397716,0.06756630469319477,0.2186980169336299,0.03261499355176345,0.10414369287703493,0.03031605704353027,0.006915500065416892,0.010597536586733455,0.008261218997065585,0.0862007737883857,0.0018129824495822665,0.058875203259630304,0.12786198904734314,0.06186568977440517,0.017045773134216773,0.07298656150122423,0.016503747453413826,0.061753546530101115,0.10685238629045722,0.28311112171154623,0.30798769289479333,0.3020487991032032
0100301,78052,19057,42152,16843,17911,20914,39227,144,62,68,1393,5892,2020,11382,1253,1169,1620,871,23591,349,8165,4787,4209,644,8403,1261,769,5996,15325,18086,19588,0.24415774099318402,0.5400502229283042,0.21579203607851177,0.22947522164710707,0.2679495720801517,0.5025752062727412,0.0018449238968892532,0.000794342233382873,0.0008712140624199252,0.01784707630810229,0.07548813611438528,0.025880182442474246,0.14582585968328807,0.01605340029723774,0.014977194690719007,0.0207553938400041,0.011159227181878747,0.30224721980218316,0.004471378055655204,0.1046097473479219,0.0613309076000615,0.05392558806949213,0.00825090964997694,0.10765899656639163,0.01615589606928714,0.009852406088248859,0.1016357318416815,0.25976777693024833,0.3065683532502754,0.33202813797779474
0100302,71799,17583,38760,15456,19020,26195,26584,19,1,603,3002,6514,1869,7718,392,1160,1648,1053,5712,303,7076,3229,18338,1169,6276,1744,3973,6161,15190,18302,14563,0.24489199013913843,0.539840387749133,0.21526762211172856,0.2649061964651318,0.3648379503892812,0.370255853145587,0.00026462764105349655,1.3927770581762977e-05,0.008398445660803075,0.041811167286452455,0.09072549756960403,0.026031003217315003,0.10749453335004666,0.005459686068051087,0.016156213874845053,0.022952965918745388,0.014665942422596416,0.07955542556303012,0.004220114486274182,0.09855290463655483,0.04497277120851265,0.25540745692836947,0.01628156381008092,0.08741068817114445,0.02429003189459463,0.05533503252134431,0.11363804043086911,0.28017559392061386,0.33757562343219716,0.2686107422163199
0100400,36988,8958,20085,7945,8844,17100,11044,335,21,456,1219,12229,1297,4595,1422,244,775,281,648,87,870,3299,3988,119,2856,477,1770,3995,10033,9017,4985,0.24218665513139395,0.5430139504704229,0.21479939439818319,0.2391045744565805,0.46231210122201793,0.29858332432140156,0.009056991456688656,0.0005677517032551098,0.012328322699253812,0.032956634584189466,0.33062074186222556,0.035065426624851306,0.12422947983129663,0.03844490104898886,0.0065967340759165135,0.02095274142965286,0.0075970585054612304,0.017519195414729103,0.0023521141991997407,0.023521141991997403,0.08919108900183843,0.10781875202768465,0.0032172596517789556,0.07721423164269493,0.012896074402508922,0.04785335784578782,0.14252586514448806,0.3579379236532287,0.32169104530859793,0.17784516589368535
0100500,42131,11244,22386,8501,10085,19413,12633,185,60,404,1330,12473,1476,6083,1077,547,908,464,985,477,1652,2909,4438,259,4167,819,1418,4908,9956,9976,6047,0.2668818684579051,0.5313427167643777,0.20177541477771713,0.23937243359996202,0.46077709999762645,0.29985046640241153,0.004391065960931381,0.00142412950084261,0.009589138639006907,0.03156820393534452,0.2960527877334979,0.035033585720728205,0.14438299589375994,0.025563124540124847,0.01298331394934846,0.021551826446084832,0.011013268139849517,0.023379459305499513,0.01132182953169875,0.0392110322565332,0.06904654529918587,0.10533811207899171,0.006147492345303933,0.09890579383351926,0.019439367686501625,0.03365692720324701,0.15890180334768672,0.32233625797260984,0.3229837795836436,0.19577815909605983
0100600,54389,12461,30161,11767,12460,19939,21990,220,82,435,3405,13467,2161,6405,1569,280,1446,401,1670,806,3643,3884,6261,324,4793,1075,2062,5395,13647,13970,8916,0.22910882715254924,0.5545422787696042,0.21634889407784663,0.2290904410818364,0.3665998639430767,0.4043096949750869,0.004044935556822151,0.0015076577984518928,0.007997940760080164,0.06260457077717921,0.24760521428965415,0.03973229881042122,0.1177627829156631,0.02884774494842707,0.005148099799591829,0.026586258250749232,0.007372814355844012,0.030704738090422696,0.014819172994539337,0.06698045560683226,0.0714114986486238,0.11511518873301586,0.0059570869109562595,0.08812443692658442,0.019765026016290058,0.03791207780985126,0.1286729631749666,0.32548654836863194,0.33319023087197097,0.21265025758443046
0100700,36722,9555,19259,7908,8776,16409,11537,418,6,270,1515,8704,1301,4707,2771,274,877,264,732,238,1341,2961,4641,198,3053,652,1799,3442,9382,9094,5249,0.2601982462828822,0.5244540057731061,0.21534774794401176,0.23898480474919667,0.446843853820598,0.3141713414302053,0.011382822286367845,0.00016338979358422744,0.0073525407112902345,0.04125592288001743,0.23702412722618593,0.03542835357551331,0.12817929306682643,0.07545885300364903,0.007461467240346386,0.023882141495561244,0.007189150917706008,0.019933554817275746,0.006481128478841022,0.03651761886607483,0.08063286313381623,0.12638200533739993,0.005391863188279505,0.08313817330210772,0.017755024236152717,0.0489897064430042,0.12669783192844258,0.34534545588397686,0.33474435896492066,0.19321235322265984
0100800,28396,7391,15148,5857,7129,11977,9290,121,25,237,2144,4652,1639,4340,688,150,697,142,908,220,1119,2743,2840,151,3037,1053,1490,2834,7008,6789,4374,0.26028313847020706,0.5334554162558107,0.20626144527398224,0.25105648682913084,0.4217847584166784,0.3271587547541907,0.004261163544161149,0.0008804056909423862,0.008346245950133821,0.07550359205521905,0.16382589097055925,0.05771939709818284,0.15283842794759825,0.024228764614734468,0.0052824341456543175,0.02454571066347373,0.0050007043245527535,0.03197633469502747,0.007747570080292999,0.03940695872658121,0.09659811241019862,0.10001408649105507,0.005317650373292013,0.10695168333568109,0.03708268770249331,0.05247217918016622,0.13492025708164723,0.333634848845513,0.3232087598190907,0.2082361342537491
0100900,37519,9854,20000,7665,10413,15766,11340,15,39,270,1143,5651,952,4869,887,350,1016,361,729,61,3644,2941,7687,305,3832,768,1999,3625,8694,9554,5792,0.262640262267118,0.5330632479543698,0.20429648977851222,0.2775393800474426,0.4202137583624297,0.30224686159012765,0.00039979743596577733,0.001039473333511021,0.007196353847383992,0.030464564620592233,0.1506170207095072,0.025373810602628003,0.12977424771449134,0.0236413550467763,0.009328606839201472,0.027079612996081984,0.009621791625576375,0.019430155387936777,0.0016258429062608278,0.09712412377728617,0.07838695061169007,0.20488285935126202,0.008129214531304139,0.10213491830805725,0.0204696287214478,0.05327967163303926,0.13103198987890838,0.3142598951744081,0.34534610518705944,0.20936200975962407
